,value
26,"Ladies and gentlemen, the Vice-President and I are here to report on the outcome of today's meeting of the Governing Council of the ECB. 
"
27,"Ladies and gentlemen, the Vice-President and I are here to report on the outcome of today's meeting of the Governing Council of the ECB. 
"
28,"Ladies and gentlemen, let me welcome you to our first press conference of 2001."
29,"Ladies and gentlemen, the Vice-President and I are here to report on the outcome of today's meeting of the Governing Council of the ECB. 
"
30,"Ladies and gentlemen, the Vice-President and I are here to report on the outcome of today's meeting of the Governing Council of the ECB, which was also attended by the President of the Eurogroup, Mr. Reynders. 
"
31,"Ladies and gentlemen, the Vice-President and I are here to report on the outcome of today's meeting of the Governing Council of the ECB. 
"
32,"Ladies and gentlemen, the Vice-President and I are here to report on the outcome of today's meetings of the General Council and the Governing Council of the ECB. 
"
33,"Ladies and gentlemen, 
Today, the Governing Council met for the third time outside Frankfurt."
34,"Ladies and gentlemen, the Vice-President and I are here to report on the outcome of today's meeting of the Governing Council of the ECB, which was also attended by Mr. Reynders, President of the EU Council, and Mr. Solbes from the European Commission. 
"
35,"Ladies and gentlemen, I am here to report on the outcome of today's meeting of the Governing Council of the ECB, which was also attended by Mr. Reynders, President of the EU Council, and Mr. Solbes from the European Commission. 
"
36,"Ladies and gentlemen, the Governing Council of the European Central Bank met today for the fourth time outside Frankfurt."
37,"Ladies and gentlemen, the Vice-President and I are here to report on the outcome of today's meeting of the Governing Council of the ECB. 
"
38,"Ladies and gentlemen, the Vice-President and I are here to report on the outcome of today's meeting of the Governing Council of the ECB. 
"
39,"Ladies and gentlemen, the Vice-President and I will report on the outcome of today's meeting of the Governing Council of the ECB, which was also attended by the President of the ECOFIN Council, Mr. Rato, as well as by Commissioner Solbes. 
"
40,"Ladies and gentlemen, as the Treaty on European Union was signed in Maastricht exactly ten years ago today, it was decided that it would be fitting to hold the fifth meeting of the Governing Council of the ECB outside Frankfurt here in this city in order to mark the tenth anniversary of what has become known as the ""Maastricht Treaty""."
41,"Ladies and gentlemen, the Vice-President and I will now report on the outcome of today's meeting of the Governing Council of the ECB. 
"
42,"Ladies and gentlemen, the Vice-President and I will now report on the outcome of today's meeting of the Governing Council of the ECB. 
"
43,"Ladies and gentlemen, the Vice-President and I will now report on the outcome of today's meeting of the Governing Council of the ECB. 
"
44,"Ladies and gentlemen, Mr. Papademos, the new Vice-President of the ECB, and I will now report on the outcome of today's meeting of the Governing Council of the ECB. 
"
45,"Ladies and gentlemen, the Governing Council of the European Central Bank met today for the sixth time outside Frankfurt."
46,"Ladies and gentlemen, the Vice-President and I will report on the outcome of today's meeting of the Governing Council of the ECB, which was also attended by the President of the Eurogroup, Mr. Christodoulakis, and Commissioner Solbes. 
"
47,"Ladies and gentlemen, the Vice-President and I will report on the outcome of today's meeting of the Governing Council of the ECB. 
"
48,"Ladies and gentlemen, the Vice-President and I will report on the outcome of today's meeting of the Governing Council of the ECB. 
"
49,"Ladies and gentlemen, the Vice-President and I will now report on the outcome of today's meeting of the Governing Council of the ECB. 
"
50,"Ladies and gentlemen, the Vice-President and I will report on the outcome of today's meeting of the Governing Council of the ECB, which was also attended by the President of the ECOFIN Council, Mr. Christodoulakis, and Commissioner Solbes. 
"
51,"Ladies and gentlemen, the Vice-President and I will report on the outcome of today's meeting of the Governing Council of the ECB. 
"
52,"Ladies and gentlemen, the Vice-President and I will report on the outcome of today's meeting of the Governing Council of the ECB. 
"
53,"Ladies and gentlemen, the Governing Council of the European Central Bank today met for the seventh time outside Frankfurt."
54,"Ladies and gentlemen, the Vice-President and I will now report on the outcome of today's meeting of the Governing Council of the ECB. 
"
55,"Ladies and gentlemen, the Vice-President and I will now report on the outcome of today's meeting of the Governing Council of the ECB. 
"
56,"Ladies and gentlemen, the Vice-President and I will now report on the outcome of today's meeting of the Governing Council of the ECB, which was also attended by the President of the ECOFIN Council, Mr. Tremonti. 
"
57,"Ladies and gentlemen, I would like to report on the outcome of today's meeting of the Governing Council of the ECB. 
"
58,"Ladies and gentlemen, the Governing Council of the European Central Bank today met for the eighth time outside Frankfurt."
59,"Ladies and gentlemen, 
Today marks the first time that I had the honour and the pleasure of chairing the meeting of the Governing Council of the ECB."
60,"Ladies and gentlemen, the Vice-President and I will now report on the outcome of today's meeting of the Governing Council of the ECB. 
"
61,"Ladies and gentlemen, welcome to the first press conference of 2004."
62,"Ladies and gentlemen, welcome to this press conference."
63,"Ladies and gentlemen, welcome again to our monthly press conference."
64,"Ladies and gentlemen, welcome again to our press conference. 
"
65,"Ladies and gentlemen, it is a pleasure to welcome you to our press conference here in Helsinki, where the Governing Council of the European Central Bank met today for the ninth time outside Frankfurt."
66,"Ladies and gentlemen, the Vice-President and I will now report on the outcome of today’s meeting of the Governing Council of the ECB.
"
67,"Ladies and gentlemen, the Vice-President and I will now report on the outcome of today’s meeting of the Governing Council of the ECB.
"
68,"Ladies and gentlemen, the Vice-President and I will now report on the outcome of today’s meeting of the Governing Council of the ECB, which was also attended by the President of the ECOFIN Council, Mr Zalm, and Commissioner Almunia.
"
69,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to the press conference here in Brussels."
70,"Ladies and gentlemen, the Vice-President and I will now report on the outcome of today’s meeting of the Governing Council of the ECB.
"
71,"Ladies and gentlemen, the Vice-President and I will now report on the outcome of today’s meeting of the Governing Council of the ECB.
"
72,"Ladies and gentlemen, the Vice-President and I would like to welcome you to the first press conference of 2005 and extend our best wishes to you for the new year."
73,"Ladies and gentlemen, it is our pleasure to welcome you to this press conference."
74,"Ladies and gentlemen, it is our pleasure to welcome you to this press conference."
75,"Ladies and gentlemen, it is our pleasure to welcome you to this press conference."
76,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to the press conference here in Berlin."
77,"Ladies and gentlemen, it is our pleasure to welcome you to this press conference."
78,"Ladies and gentlemen, welcome to our press conference. 
"
79,"Ladies and gentlemen, welcome to our press conference."
80,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to the press conference here in Athens."
81,"Ladies and gentlemen, welcome to our press conference."
82,"Ladies and gentlemen, let me welcome you to our press conference and report on the outcome of today’s meeting of the ECB’s Governing Council."
83,"Ladies and gentlemen, the Vice-President and I would first like to express to all of you our best wishes for the New Year and welcome you to this press conference."
84,"Ladies and gentlemen, allow me to welcome you to our press conference and report on the outcome of today’s meeting of the ECB’s Governing Council."
85,"Ladies and gentlemen, let me welcome you to our press conference and report on the outcome of today’s meeting of the ECB’s Governing Council."
86,"Ladies and gentlemen, let me welcome you to our press conference and report on the outcome of today’s meeting of the ECB’s Governing Council."
87,"Ladies and gentlemen, let me welcome you to our press conference and report on the outcome of today’s meeting of the ECB’s Governing Council."
88,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to the press conference here in Madrid."
89,"Ladies and gentlemen, let me welcome you to our press conference and report on the outcome of today’s meeting of the ECB’s Governing Council."
90,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to this press conference to report on the outcome of today’s meeting of the Governing Council."
91,"Ladies and gentlemen, let me welcome you to our press conference and report on the outcome of today’s meeting of the ECB’s Governing Council."
92,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to the press conference here in Paris."
93,"Ladies and gentlemen, let me welcome you to our press conference and report on the outcome of today’s meeting of the ECB’s Governing Council."
94,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to today’s press conference."
95,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our first press conference in 2007."
96,"Ladies and gentlemen, let me welcome you to our press conference and report on the outcome of today’s meeting of the ECB’s Governing Council."
97,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to today’s press conference."
98,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to today’s press conference."
99,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to today’s press conference here in Dublin."
100,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to today’s press conference."
101,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to today’s press conference."
102,"Ladies and gentlemen, let me welcome you to our press conference and report on the outcome of today’s meeting of the ECB’s Governing Council."
103,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to today’s press conference here in Vienna."
104,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to today’s press conference."
105,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to today’s press conference."
106,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our first press conference of 2008."
107,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
108,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
109,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
110,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to today’s press conference here in Athens."
111,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
112,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to today’s press conference."
113,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
114,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
115,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
116,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
117,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference here in Brussels."
118,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our first press conference of 2009."
119,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to today’s press conference."
120,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to today’s press conference."
121,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to today’s press conference."
122,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to today’s press conference."
123,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to today’s press conference."
124,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference here in Luxembourg."
125,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to today’s press conference."
126,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to today’s press conference."
127,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference here in Venice."
128,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference today."
129,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference today."
130,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our first press conference in 2010."
131,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference today."
132,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
133,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
134,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference here in Lisbon."
135,"Ladies and gentlemen, Mr Constâncio, the new Vice-President of the ECB, and I are very pleased to welcome you to our press conference."
136,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
137,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
138,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
139,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
140,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
141,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
142,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
143,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
144,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
145,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference here in Helsinki."
146,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
147,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
148,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
149,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
150,"
Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference here in Berlin."
151,"Ladies and gentlemen, welcome to our press conference."
152,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
153,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
154,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
155,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
156,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
157,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
158,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
159,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
160,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
161,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
162,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
163,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
164,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
165,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
166,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
167,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
168,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
169,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
170,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
171,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
172,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
173,"Ladies and gentlemen, I am very pleased to welcome you to our press conference."
174,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
175,"Ladies and gentlemen, I am very pleased to welcome you to our press conference."
176,"Ladies and gentlemen, I am very pleased to welcome you to our press conference."
177,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
178,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
179,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
180,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
181,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
182,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
183,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
184,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
185,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
186,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
187,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
188,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to the first press conference in our new premises."
189,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
190,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference, here, in Nicosia."
191,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference.
"
192,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
193,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
194,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
195,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
196,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
197,"Ladies and gentlemen, first of all let me wish you a Happy New Year."
198,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
199,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
200,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
201,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
202,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
203,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
204,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
205,"Ladies and gentlemen, first of all let me wish you a Happy New Year."
206,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
207,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
208,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
209,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
210,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
211,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
212,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
213,"Ladies and gentlemen, first of all let me wish you a Happy New Year."
214,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
215,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
216,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
217,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
218,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
219,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
220,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
221,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
222,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
223,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
224,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
225,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
226,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
227,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
228,"Ladies and gentlemen, welcome to our press conference."
229,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
230,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
231,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
232,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
233,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
234,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
235,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
236,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
237,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
238,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
239,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
240,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference."
241,"Good afternoon, the Vice-President and I welcome you to our press conference. 
"
242,"Good afternoon, the Vice-President and I welcome you to our press conference. 
"
243,"Good afternoon, the Vice-President and I welcome you to our press conference. 
"
244,"The first paragraph of the last question was updated on 17 December 2021 at 14:40 to correct a transcription error.
"
245,"Good afternoon, the Vice-President and I welcome you to our press conference. 
"
246,"Good afternoon, the Vice-President and I welcome you to our press conference. 
"
247,"Good afternoon, the Vice-President and I welcome you to our press conference. 
"
248,"Good afternoon, the Vice-President and I welcome you to our press conference."
249,"Good afternoon, the Vice-President and I welcome you to our press conference. 
"
250,"Good afternoon, the Vice-President and I welcome you to our press conference. 
"
251,"The length of my introductory statement reflects the importance of the matters dealt with today. 
"
252,The number of items considered by the Governing Council required a full-day meeting.
253,"Similarly to last month, the Governing Council had a very heavy agenda with many of the items being of a rather technical nature or related to the legal implementation of decisions already taken at previous meetings. 
"
254,"Let me first turn to the Governing Council's discussion on recent economic, monetary and financial developments and the decisions that the Governing Council has taken today in the field of monetary policy."
255,"For the first time, the Governing Council took decisions of an operational nature in the context of the single monetary policy. 
"
256,"Let me start with the Governing Council's discussion on recent economic developments and the decisions that the Governing Council has taken today in the field of monetary policy. 
"
257,"Let me start with the Governing Council's discussion on recent economic developments and the decisions that the Governing Council has taken today in the field of monetary policy. 
"
258,Let me start with the Governing Council's discussion of recent economic developments and the decisions that the Governing Council has taken today in the field of monetary policy.
259,"The Governing Council reviewed, as usual, the main monetary, financial and other economic indicators in line with its monetary policy strategy."
260,"At its meeting today, the Governing Council reviewed, as usual, the main monetary, financial and other economic indicators in line with its monetary policy strategy."
261,"The Governing Council reviewed the main monetary, financial and other economic indicators in line with its monetary policy strategy."
262,"The Governing Council reviewed the outlook for price developments and the risks to price stability in the euro area, in line with its monetary policy strategy."
263,The outcome of today's discussion was that the Governing Council has decided to leave the prevailing ECB interest rates unchanged.
264,The outcome of today's meeting was that the Governing Council has decided to increase the ECB interest rates.
265,"This decision was taken on the grounds that the components underlying the derivation of the first reference value in December 1998, namely the Eurosystem's definition of price stability and the assumptions for trend real GDP growth and the trend decline in M3 income velocity, have remained unchanged. 
"
266,"Let me first say that, as expected, the transition of the euro area financial markets to the year 2000 went smoothly."
267,At today's meeting the Governing Council decided to increase the ECB interest rates by 25 basis points.
268,The Governing Council conducted its regular examination of the outlook for price developments in the euro area.
269,"Therefore, let me first of all thank our host, Governor Rojo, for inviting us to meet in Madrid and for the generous hospitality offered to us."
270,The Governing Council today conducted its regular examination of the outlook for price developments and the risks to price stability in the euro area.
271,The Governing Council conducted its regular examination of the outlook for price developments and the risks to price stability in the euro area.
272,"The Governing Council took the following monetary policy decisions: 
The interest rate on the main refinancing operations of the Eurosystem will be raised by 0.50 percentage point to 4.25% and applied in the two operations (which will be conducted as fixed rate tenders) to be settled on 15 and 21 June 2000. 
"
273,The Governing Council conducted its regular examination of recent monetary and economic developments and their implications for the risks to future price stability in the euro area.
274,The Governing Council of the ECB today conducted its regular examination of recent monetary and economic developments and their implications for the risks to future price stability in the euro area.
275,"The following decisions were taken today: 
The minimum bid rate on the main refinancing operations of the Eurosystem will be raised by 0.25 percentage point to 4.75%, starting from the operation to be settled on 11 October 2000. 
"
276,"Therefore, let me first of all thank our host, Governor Trichet, for inviting us to meet in Paris and for the generous hospitality offered to us."
277,The Governing Council conducted its regular examination of monetary and economic developments and their implications for the maintenance of price stability in the euro area.
278,"Let me first report that the Governing Council decided to reconfirm the existing reference value for monetary growth, namely an annual growth rate of 4 1/2% for the broad aggregate M3."
279,"The Vice-President and I are here to report, as we have done for more than two years now, on the outcome of today's meeting of the Governing Council of the ECB, which was also attended by the Eurogroup President, Minister Reynders, as well as by Commissioner Solbes."
280,The Governing Council conducted its regular examination of monetary and economic developments and analysed their implications for the maintenance of price stability in the euro area.
281,The Governing Council conducted its regular examination of monetary and economic developments and analysed their implications for the maintenance of price stability in the euro area.
282,The Governing Council conducted its regular examination of monetary and economic developments and analysed their implications for the maintenance of price stability in the euro area.
283,The Governing Council conducted its regular examination of monetary and economic developments and analysed their implications for the maintenance of price stability in the euro area.
284,"Therefore, let me first of all thank our host, Governor O'Connell, for inviting us to meet in Dublin and for the generous hospitality offered to us."
285,"As usual, we conducted our regular examination of monetary and economic developments and analysed their implications for the maintenance of price stability in the euro area."
286,"Following its regular examination of monetary and economic developments and analysis of their implications for the maintenance of price stability in the euro area, the Governing Council decided to lower the key ECB interest rates by 25 basis points."
287,"Let me first of all thank our host, Governor Liebscher, and the staff of the Oesterreichische Nationalbank, for the invitation to Vienna and for the generous hospitality offered to us. 
"
288,The Governing Council conducted a comprehensive and in-depth examination of monetary and economic developments.
289,The Governing Council conducted a comprehensive examination of recent monetary and economic developments in order to assess the prospects for the maintenance of price stability in the euro area over the medium term.
290,"As usual, we examined recent monetary, financial and economic developments."
291,"Indeed, the Governing Council today met in the same rooms in which the Heads of State and Government successfully concluded the Treaty negotiations."
292,"First of all, we were pleased to see that the euro cash changeover went so smoothly – more smoothly in fact than we could have hoped."
293,"As usual, we examined recent monetary, financial and economic developments."
294,"The Governing Council comprehensively examined monetary, financial and economic developments and also considered the accumulated changes in the economic outlook since its decision to lower the key ECB interest rates in November 2001."
295,"The Governing Council undertook a comprehensive examination of monetary, financial and economic developments and considered the evidence that has become available since its last meeting on 2 May 2002."
